column,name,code
class,edible,e
class,poisonous,p
cap-shape,bell,b
cap-shape,conical,c
stalk-shape,enlarging,e
cap-surface,fibrous,f
cap-shape,flat,f
bruises,no,f
cap-surface,grooves,g
cap-shape,knobbed,k
cap-surface,smooth,s
cap-shape,sunken,s
bruises,bruises,t
stalk-shape,tapering,t
cap-shape,convex,x
cap-surface,scaly,y
population,abundant,a
odor,almond,a
gill-attachment,attached,a
spore-print-color,black,k
gill-color,black,k
gill-size,broad,b
stalk-color-below-ring,brown,n
cap-color,brown,n
stalk-color-above-ring,brown,n
veil-color,brown,n
stalk-root,bulbous,b
gill-spacing,close,c
ring-type,cobwebby,c
stalk-surface-above-ring,fibrous,f
stalk-surface-below-ring,fibrous,f
habitat,grasses,g
gill-color,green,r
ring-number,none,n
veil-type,partial,p
odor,anise,l
spore-print-color,brown,n
gill-color,brown,n
stalk-color-below-ring,buff,b
cap-color,buff,b
stalk-color-above-ring,buff,b
spore-print-color,buff,b
gill-color,buff,b
spore-print-color,chocolate,h
gill-color,chocolate,h
stalk-color-below-ring,cinnamon,c
cap-color,cinnamon,c
stalk-color-above-ring,cinnamon,c
stalk-root,club,c
population,clustered,c
odor,creosote,c
gill-spacing,crowded,w
stalk-root,cup,u
gill-attachment,descending,d
gill-spacing,distant,d
stalk-root,equal,e
ring-type,evanescent,e
odor,fishy,y
ring-type,flaring,f
odor,foul,f
gill-attachment,free,f
stalk-color-below-ring,gray,g
cap-color,gray,g
stalk-color-above-ring,gray,g
gill-color,gray,g
spore-print-color,green,r
cap-color,green,r
ring-type,large,l
habitat,leaves,l
habitat,meadows,m
stalk-root,missing,?
odor,musty,m
gill-size,narrow,n
ring-type,none,n
odor,none,n
gill-attachment,notched,n
population,numerous,n
ring-number,one,o
veil-color,orange,o
stalk-color-below-ring,orange,o
stalk-color-above-ring,orange,o
spore-print-color,orange,o
gill-color,orange,o
habitat,paths,p
ring-type,pendant,p
stalk-color-below-ring,pink,p
cap-color,pink,p
stalk-color-above-ring,pink,p
gill-color,pink,p
odor,pungent,p
spore-print-color,purple,u
cap-color,purple,u
gill-color,purple,u
stalk-color-below-ring,red,e
stalk-color-above-ring,red,e
cap-color,red,e
gill-color,red,e
stalk-root,rhizomorphs,z
stalk-root,rooted,r
stalk-surface-above-ring,scaly,y
stalk-surface-below-ring,scaly,y
population,scattered,s
population,several,v
ring-type,sheathing,s
stalk-surface-above-ring,silky,k
stalk-surface-below-ring,silky,k
stalk-surface-above-ring,smooth,s
stalk-surface-below-ring,smooth,s
population,solitary,y
odor,spicy,s
ring-number,two,t
veil-type,universal,u
habitat,urban,u
habitat,waste,w
veil-color,white,w
stalk-color-below-ring,white,w
spore-print-color,white,w
stalk-color-above-ring,white,w
cap-color,white,w
gill-color,white,w
habitat,woods,d
stalk-color-below-ring,yellow,y
spore-print-color,yellow,y
stalk-color-above-ring,yellow,y
cap-color,yellow,y
gill-color,yellow,y
veil-color,yellow,y
ring-type,zone,z
ring-number,other,b
