cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
sunken,fibrous,gray,bruises,pungent,free,distant,narrow,black,enlarging,equal,smooth,smooth,cinnamon,cinnamon,partial,white,two,pendant,black,numerous,urban
convex,grooves,yellow,bruises,almond,descending,close,broad,black,enlarging,club,scaly,scaly,red,red,partial,white,one,pendant,purple,abundant,paths
knobbed,smooth,brown,bruises,anise,free,crowded,broad,brown,tapering,club,smooth,silky,buff,buff,partial,white,one,pendant,brown,several,grasses
bell,scaly,white,bruises,fishy,free,close,narrow,red,tapering,equal,smooth,silky,white,gray,partial,white,other,none,black,scattered,urban
bell,smooth,gray,no,none,notched,close,broad,orange,tapering,bulbous,smooth,smooth,white,red,partial,white,other,zone,white,abundant,grasses
knobbed,smooth,yellow,no,almond,free,crowded,narrow,brown,tapering,rhizomorphs,smooth,smooth,buff,buff,partial,white,one,pendant,black,numerous,paths
flat,fibrous,white,bruises,almond,attached,close,broad,gray,enlarging,club,smooth,fibrous,white,white,partial,white,one,pendant,white,numerous,meadows
bell,scaly,white,bruises,anise,free,close,broad,green,tapering,club,smooth,smooth,yellow,yellow,universal,white,two,pendant,yellow,solitary,waste
sunken,scaly,yellow,no,pungent,free,distant,narrow,buff,tapering,cup,smooth,smooth,white,white,partial,yellow,two,pendant,buff,several,waste
bell,smooth,yellow,bruises,almond,descending,close,broad,gray,enlarging,club,scaly,scaly,white,orange,partial,white,one,pendant,black,scattered,grasses
convex,smooth,green,bruises,anise,notched,distant,narrow,buff,enlarging,cup,smooth,smooth,white,white,universal,yellow,one,sheathing,buff,numerous,grasses
conical,grooves,yellow,bruises,pungent,descending,crowded,broad,brown,enlarging,club,scaly,scaly,white,white,partial,white,one,flaring,white,scattered,grasses
bell,grooves,cinnamon,bruises,almond,free,close,broad,black,enlarging,bulbous,scaly,smooth,brown,white,partial,orange,one,flaring,brown,abundant,woods
convex,grooves,white,bruises,creosote,free,distant,narrow,green,enlarging,rooted,scaly,scaly,white,cinnamon,partial,orange,one,pendant,buff,several,grasses
sunken,fibrous,red,bruises,musty,attached,crowded,broad,brown,enlarging,rooted,fibrous,fibrous,pink,white,partial,white,two,evanescent,black,abundant,grasses
sunken,grooves,green,bruises,none,descending,crowded,narrow,black,enlarging,rhizomorphs,smooth,scaly,orange,orange,partial,orange,one,large,brown,several,paths
flat,fibrous,white,bruises,fishy,attached,crowded,broad,black,enlarging,equal,fibrous,fibrous,gray,gray,partial,brown,one,evanescent,brown,scattered,grasses
convex,fibrous,brown,bruises,pungent,free,close,broad,pink,enlarging,club,smooth,fibrous,buff,white,partial,white,one,evanescent,black,clustered,grasses
bell,scaly,white,no,fishy,notched,close,narrow,brown,tapering,bulbous,smooth,smooth,gray,gray,partial,white,other,sheathing,chocolate,scattered,grasses
sunken,grooves,yellow,bruises,musty,descending,close,narrow,chocolate,enlarging,equal,smooth,smooth,white,white,partial,white,other,pendant,purple,scattered,waste
conical,smooth,pink,no,almond,notched,crowded,narrow,pink,tapering,club,smooth,smooth,white,white,universal,white,one,sheathing,brown,clustered,meadows
convex,scaly,gray,bruises,fishy,descending,close,narrow,chocolate,enlarging,equal,scaly,scaly,white,gray,partial,orange,one,large,brown,scattered,woods
conical,scaly,yellow,bruises,anise,descending,crowded,broad,pink,enlarging,club,scaly,smooth,buff,white,partial,white,other,pendant,purple,scattered,woods
