class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
poisonous,sunken,fibrous,gray,bruises,pungent,free,distant,narrow,black,enlarging,equal,smooth,smooth,cinnamon,cinnamon,partial,white,two,pendant,black,numerous,urban
edible,convex,grooves,yellow,bruises,almond,descending,close,broad,black,enlarging,club,scaly,scaly,red,red,partial,white,one,pendant,purple,abundant,paths
edible,knobbed,smooth,brown,bruises,anise,free,crowded,broad,brown,tapering,club,smooth,silky,buff,buff,partial,white,one,pendant,brown,several,grasses
poisonous,bell,scaly,white,bruises,fishy,free,close,narrow,red,tapering,equal,smooth,silky,white,gray,partial,white,other,none,black,scattered,urban
edible,bell,smooth,gray,no,none,notched,close,broad,orange,tapering,bulbous,smooth,smooth,white,red,partial,white,other,zone,white,abundant,grasses
edible,knobbed,smooth,yellow,no,almond,free,crowded,narrow,brown,tapering,rhizomorphs,smooth,smooth,buff,buff,partial,white,one,pendant,black,numerous,paths
edible,flat,fibrous,white,bruises,almond,attached,close,broad,gray,enlarging,club,smooth,fibrous,white,white,partial,white,one,pendant,white,numerous,meadows
edible,bell,scaly,white,bruises,anise,free,close,broad,green,tapering,club,smooth,smooth,yellow,yellow,universal,white,two,pendant,yellow,solitary,waste
poisonous,sunken,scaly,yellow,no,pungent,free,distant,narrow,buff,tapering,cup,smooth,smooth,white,white,partial,yellow,two,pendant,buff,several,waste
edible,bell,smooth,yellow,bruises,almond,descending,close,broad,gray,enlarging,club,scaly,scaly,white,orange,partial,white,one,pendant,black,scattered,grasses
edible,convex,smooth,green,bruises,anise,notched,distant,narrow,buff,enlarging,cup,smooth,smooth,white,white,universal,yellow,one,sheathing,buff,numerous,grasses
edible,conical,grooves,yellow,bruises,pungent,descending,crowded,broad,brown,enlarging,club,scaly,scaly,white,white,partial,white,one,flaring,white,scattered,grasses
edible,bell,grooves,cinnamon,bruises,almond,free,close,broad,black,enlarging,bulbous,scaly,smooth,brown,white,partial,orange,one,flaring,brown,abundant,woods
poisonous,convex,grooves,white,bruises,creosote,free,distant,narrow,green,enlarging,rooted,scaly,scaly,white,cinnamon,partial,orange,one,pendant,buff,several,grasses
edible,sunken,fibrous,red,bruises,musty,attached,crowded,broad,brown,enlarging,rooted,fibrous,fibrous,pink,white,partial,white,two,evanescent,black,abundant,grasses
edible,sunken,grooves,green,bruises,none,descending,crowded,narrow,black,enlarging,rhizomorphs,smooth,scaly,orange,orange,partial,orange,one,large,brown,several,paths
edible,flat,fibrous,white,bruises,fishy,attached,crowded,broad,black,enlarging,equal,fibrous,fibrous,gray,gray,partial,brown,one,evanescent,brown,scattered,grasses
poisonous,convex,fibrous,brown,bruises,pungent,free,close,broad,pink,enlarging,club,smooth,fibrous,buff,white,partial,white,one,evanescent,black,clustered,grasses
