cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
s,f,g,t,p,f,d,n,k,e,e,s,s,c,c,p,w,t,p,k,n,u
x,g,y,t,a,d,c,b,k,e,c,y,y,e,e,p,w,o,p,u,a,p
k,s,n,t,l,f,w,b,n,t,c,s,k,b,b,p,w,o,p,n,v,g
b,y,w,t,y,f,c,n,e,t,e,s,k,w,g,p,w,b,n,k,s,u
b,s,g,f,n,n,c,b,o,t,b,s,s,w,e,p,w,b,z,w,a,g
k,s,y,f,a,f,w,n,n,t,z,s,s,b,b,p,w,o,p,k,n,p
f,f,w,t,a,a,c,b,g,e,c,s,f,w,w,p,w,o,p,w,n,m
b,y,w,t,l,f,c,b,r,t,c,s,s,y,y,u,w,t,p,y,y,w
s,y,y,f,p,f,d,n,b,t,u,s,s,w,w,p,y,t,p,b,v,w
b,s,y,t,a,d,c,b,g,e,c,y,y,w,o,p,w,o,p,k,s,g
x,s,r,t,l,n,d,n,b,e,u,s,s,w,w,u,y,o,s,b,n,g
c,g,y,t,p,d,w,b,n,e,c,y,y,w,w,p,w,o,f,w,s,g
b,g,c,t,a,f,c,b,k,e,b,y,s,n,w,p,o,o,f,n,a,d
x,g,w,t,c,f,d,n,r,e,r,y,y,w,c,p,o,o,p,b,v,g
s,f,e,t,m,a,w,b,n,e,r,f,f,p,w,p,w,t,e,k,a,g
s,g,r,t,n,d,w,n,k,e,z,s,y,o,o,p,o,o,l,n,v,p
f,f,w,t,y,a,w,b,k,e,e,f,f,g,g,p,n,o,e,n,s,g
x,f,n,t,p,f,c,b,p,e,c,s,f,b,w,p,w,o,e,k,c,g
b,y,w,f,y,n,c,n,n,t,b,s,s,g,g,p,w,b,s,h,s,g
s,g,y,t,m,d,c,n,h,e,e,s,s,w,w,p,w,b,p,u,s,w
c,s,p,f,a,n,w,n,p,t,c,s,s,w,w,u,w,o,s,n,c,m
x,y,g,t,y,d,c,n,h,e,e,y,y,w,g,p,o,o,l,n,s,d
c,y,y,t,l,d,w,b,p,e,c,y,s,b,w,p,w,b,p,u,s,d
b,y,w,t,a,a,w,b,w,e,z,s,f,w,w,p,n,o,p,r,v,d
b,s,w,f,l,f,c,b,o,t,b,s,s,g,g,u,w,o,n,k,a,l
f,g,r,t,c,d,d,n,b,e,e,y,y,c,w,p,w,t,f,n,n,w
f,y,e,t,a,a,c,b,n,e,e,f,s,n,w,p,n,o,p,k,s,g
k,y,u,t,l,f,w,b,w,e,c,y,s,b,w,p,o,o,p,n,v,m
b,s,r,f,n,f,c,n,k,t,e,s,s,e,w,p,y,o,p,k,a,u
f,s,y,t,a,f,c,n,h,t,e,k,s,g,g,p,w,o,p,w,v,l
b,s,p,t,l,f,c,b,g,e,r,k,k,c,w,p,w,t,n,n,y,p
x,y,w,t,c,f,d,b,u,e,u,s,y,g,g,p,w,o,p,n,s,l
k,y,r,t,f,f,w,b,w,e,z,s,y,o,w,p,w,o,f,r,v,u
f,y,e,t,l,f,c,b,e,e,r,f,f,w,w,p,w,o,p,n,s,p
b,g,n,t,l,f,c,b,n,e,b,s,s,n,n,p,o,b,l,n,a,m
x,s,c,f,l,f,d,n,u,t,u,s,s,y,y,p,w,t,p,y,n,u
s,f,g,f,n,a,c,b,k,e,e,f,f,w,g,p,n,b,p,k,a,u
s,s,n,t,p,f,d,n,y,t,r,s,s,c,w,u,w,t,p,n,s,u
x,g,b,t,y,d,c,n,e,t,b,y,s,g,g,p,o,b,p,h,s,u
f,s,y,f,l,f,c,n,k,e,c,s,s,w,w,p,y,b,p,k,s,l
x,f,c,t,a,f,d,b,u,e,u,s,f,c,w,p,n,t,c,n,n,u
x,y,y,f,l,n,c,b,h,e,e,s,y,w,n,u,y,o,p,k,y,p
x,f,n,f,n,d,d,b,r,e,e,y,y,y,w,p,w,t,f,k,y,d
x,g,y,t,p,d,w,b,p,e,c,y,y,w,w,p,o,o,f,w,v,d
x,s,n,t,f,n,w,b,g,e,z,s,s,o,w,u,w,o,z,r,n,u
x,s,u,f,y,n,c,b,k,e,b,s,s,g,w,u,y,b,p,h,n,p
x,f,y,t,l,a,c,b,k,e,e,f,f,w,n,p,n,o,p,k,s,m
k,s,u,f,p,f,c,n,g,t,z,s,s,w,w,u,w,o,z,n,s,g
b,y,y,f,l,f,c,b,o,e,b,s,k,e,w,p,w,o,p,u,s,p
f,y,y,f,l,f,c,n,h,t,e,s,s,w,e,u,y,o,z,k,s,u
x,s,n,f,a,f,c,n,w,e,b,s,y,w,n,p,w,b,p,k,a,g
s,s,e,f,c,f,d,b,y,e,r,s,s,c,c,u,w,o,n,k,s,u
b,s,w,t,l,f,c,b,o,t,c,k,s,w,n,u,w,b,n,k,n,m
x,y,u,t,f,f,c,n,k,e,e,y,s,o,w,p,o,o,p,n,s,u
s,y,e,t,s,f,d,n,r,t,e,k,s,w,w,p,w,t,p,y,v,u
c,f,e,t,p,f,w,b,w,e,c,f,f,w,w,p,w,o,e,k,s,m
f,s,p,f,n,f,c,n,n,t,e,s,s,g,w,p,y,b,s,h,a,d
b,s,w,t,l,f,w,b,w,e,c,s,s,b,w,p,w,o,e,n,n,u
x,s,y,t,s,f,d,b,r,t,r,s,s,y,y,u,y,t,s,y,y,g
x,y,n,t,n,d,c,b,p,e,b,s,y,e,w,p,w,b,l,u,a,u
k,f,g,t,s,d,d,b,u,e,e,y,y,y,y,p,w,t,l,n,v,d
b,f,y,t,a,a,c,b,h,e,e,f,f,e,e,p,n,b,p,u,s,g
b,s,n,t,l,f,w,n,g,t,c,s,s,b,b,u,y,o,s,n,s,g
b,y,y,t,a,f,c,n,g,e,e,k,k,w,n,p,w,b,p,n,s,m
c,g,y,t,l,f,c,b,p,e,c,s,s,b,w,p,w,o,f,n,s,g
f,s,g,f,n,n,c,n,k,t,e,s,s,e,e,p,w,o,z,u,s,p
x,s,w,t,l,f,c,b,n,e,b,k,k,n,n,u,w,o,n,k,s,g
k,y,y,f,p,f,c,n,w,e,z,s,k,w,w,u,w,o,n,n,v,d
c,y,y,t,a,f,c,n,n,e,c,k,s,w,w,u,w,o,p,r,c,w
f,f,e,t,y,d,c,b,p,e,e,s,s,g,w,p,o,o,l,n,s,u
x,f,w,t,l,f,d,n,b,t,u,s,k,w,y,u,w,o,p,y,n,d
b,g,c,t,m,d,d,b,g,e,u,y,s,w,p,p,o,o,f,o,n,w
f,f,y,t,n,f,c,n,w,t,b,s,s,e,w,p,y,b,s,n,v,u
x,y,u,t,y,f,c,b,k,e,b,f,f,g,g,p,n,o,c,h,a,l
x,g,n,t,m,f,c,b,b,e,u,s,s,p,w,p,o,t,p,k,s,g
f,s,y,t,l,f,c,b,p,e,b,y,s,n,n,p,o,o,l,k,v,u
b,s,n,t,n,a,c,n,o,e,b,s,f,e,e,p,w,b,c,u,a,d
f,s,n,f,p,n,c,n,p,t,c,s,y,w,w,u,y,o,z,n,c,l
k,y,r,t,p,d,c,n,w,e,z,y,s,b,b,p,o,o,p,n,v,l
f,y,b,t,y,a,c,b,n,e,e,f,f,w,g,p,w,b,p,n,y,g
x,y,n,f,n,f,c,n,k,t,e,f,s,e,w,u,w,o,e,u,s,g
x,f,c,t,a,a,c,n,o,e,b,s,s,w,n,p,n,b,e,k,a,g
f,f,b,f,n,f,c,n,k,e,b,y,s,g,g,p,w,o,l,h,y,p
c,f,p,f,n,d,w,b,n,e,c,s,y,w,w,p,o,o,e,w,s,g
x,y,y,t,m,f,d,b,b,e,u,s,y,p,w,p,w,o,p,k,s,d
k,s,w,t,f,d,w,b,k,e,e,s,s,w,o,p,w,o,l,r,v,w
b,s,e,f,a,f,c,b,w,e,c,s,k,w,n,p,w,o,p,k,s,u
c,f,w,t,p,a,w,b,n,e,c,f,s,w,w,p,w,o,e,w,c,d
f,s,e,f,m,f,d,n,w,e,r,s,y,p,p,u,y,t,z,k,y,g
b,f,c,f,a,d,c,b,n,e,b,y,s,w,w,p,o,o,l,y,n,u
b,g,n,f,y,f,c,n,n,e,b,y,s,g,g,p,w,o,f,h,y,g
b,s,w,t,l,f,c,b,k,e,c,f,f,g,w,p,n,b,p,h,a,g
x,y,y,f,a,n,d,b,g,t,u,s,s,c,w,p,y,o,p,k,s,d
k,f,y,t,l,f,c,b,g,e,c,s,f,b,w,p,n,o,p,n,v,m
x,s,y,f,c,n,d,n,y,t,e,s,s,w,w,p,w,t,z,b,y,g
x,s,e,t,l,d,w,b,g,e,c,y,y,b,b,p,o,o,p,n,c,w
s,y,p,f,l,f,d,n,p,e,r,k,k,w,w,u,w,t,n,n,s,l
s,s,b,f,a,f,c,n,n,t,r,s,s,w,w,p,w,o,p,k,y,g
k,f,w,t,a,a,c,b,u,e,u,s,f,p,p,p,n,t,e,n,s,w
k,y,c,f,p,f,c,n,w,t,z,s,s,w,w,u,w,o,z,k,v,u
x,s,n,f,n,n,w,n,p,t,e,f,s,y,w,u,w,o,z,k,n,d
b,y,n,f,a,f,c,n,k,t,b,k,k,n,w,u,w,b,n,k,a,p
k,y,y,t,l,a,c,b,w,e,r,f,y,w,w,p,n,o,c,n,v,g
